Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Kun,2021-01-24 07:02:10,00:52:54,Autoplayed: user action: Unspecified; ,The White Tiger,,Samsung 2018 Kant-S UHD TV Smart TV,00:59:04,00:59:04,IN (India)
Kun,2021-01-24 06:54:21,00:02:23,,The White Tiger,,Samsung 2018 Kant-S UHD TV Smart TV,00:02:23,Not latest view,IN (India)
Kun,2021-01-24 06:54:03,00:00:14,Autoplayed: user action: None; ,Trailer: The White Tiger,TRAILER,Samsung 2018 Kant-S UHD TV Smart TV,00:00:14,00:00:14,IN (India)
Kun,2021-01-24 06:45:42,00:00:05,Autoplayed: user action: None; ,Fate: The Winx Saga: Season 1 (Hook 1),HOOK,Samsung 2018 Kant-S UHD TV Smart TV,00:00:05,00:00:05,IN (India)
Cow,2021-01-24 00:29:54,00:03:47,,Schitt's Creek: Season 1: Wine and Roses (Episode 6),,iPad Pro 3 11 (Wi-Fi/Cell),00:03:47,00:03:47,US (United States)
Cow,2021-01-24 00:04:51,00:21:50,,Schitt's Creek: Season 1: The Cabin (Episode 5),,iPad Pro 3 11 (Wi-Fi/Cell),00:21:50,00:21:50,US (United States)
Cow,2021-01-23 23:24:10,00:21:39,,Schitt's Creek: Season 1: Bad Parents (Episode 4),,iPad Pro 3 11 (Wi-Fi/Cell),00:21:19,00:21:19,US (United States)
Cow,2021-01-23 23:02:49,00:21:19,,"Schitt's Creek: Season 1: Don't Worry, It's His Sister (Episode 3)",,iPad Pro 3 11 (Wi-Fi/Cell),00:21:19,00:21:19,US (United States)
Kun,2021-01-23 22:36:51,00:00:33,Autoplayed: user action: None; ,The Blacklist: Season 1_hook_primary_16x9,HOOK,Apple TV 4K,00:00:33,00:00:33,US (United States)
Kun,2021-01-23 22:36:42,00:00:05,Autoplayed: user action: None; ,Unknown_hook_primary_16x9,HOOK,Apple TV 4K,00:00:05,00:00:05,US (United States)
Anand,2021-01-23 19:19:35,02:00:57,,The White Tiger,,Netflix Chrome MAC (Cadmium) HTML 5,02:00:51,02:00:51,US (United States)
Anand,2021-01-23 19:18:25,00:00:51,Autoplayed: user action: None; ,Trailer: The White Tiger,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:51,00:00:51,US (United States)
Anand,2021-01-23 19:16:57,00:01:25,,The White Tiger,,Netflix Chrome MAC (Cadmium) HTML 5,00:02:23,Not latest view,US (United States)
Anand,2021-01-23 19:06:29,00:00:57,,The White Tiger,,Netflix Chrome MAC (Cadmium) HTML 5,00:00:57,Not latest view,US (United States)
Anand,2021-01-23 19:06:04,00:00:21,Autoplayed: user action: None; ,Trailer: The White Tiger,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:21,Not latest view,US (United States)
Kun,2021-01-23 16:49:01,00:05:39,,Gurgaon,,Apple iPad 7th Gen 10.2 (Wi-Fi),01:30:53,01:30:53,IN (India)
Kun,2021-01-23 08:59:20,01:03:46,,Gurgaon,,Apple iPad 7th Gen 10.2 (Wi-Fi),01:25:14,Not latest view,IN (India)
Kun,2021-01-22 21:37:48,00:00:59,,The Queen's Gambit: Limited Series: Fork (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:01:47,00:01:47,US (United States)
Kun,2021-01-22 21:35:06,00:00:04,Autoplayed: user action: None; ,Blade of Demon Destruction: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,US (United States)
Kun,2021-01-22 12:14:45,00:02:59,,The White Tiger,,Samsung 2018 Kant-S UHD TV Smart TV,00:02:59,Not latest view,IN (India)
Kun,2021-01-22 12:13:08,00:01:30,Autoplayed: user action: None; ,Trailer: The White Tiger,TRAILER,Samsung 2018 Kant-S UHD TV Smart TV,00:01:30,Not latest view,IN (India)
Kun,2021-01-22 03:17:40,00:00:10,,Chef's Table: Volume 6: Mashama Bailey (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:15:00,00:15:00,US (United States)
Kun,2021-01-22 03:17:29,00:00:05,Autoplayed: user action: None; ,The Final Table (Trailer),TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:06,00:00:06,US (United States)
Kun,2021-01-21 12:32:53,00:35:41,,Gurgaon,,Apple iPad 7th Gen 10.2 (Wi-Fi),00:29:37,Not latest view,IN (India)
Kun,2021-01-20 08:11:53,00:00:08,Autoplayed: user action: None; ,Season 2 Trailer 4: Baki,HOOK,Apple iPhone 12 3 TBD iPhone,00:00:08,00:00:08,US (United States)
Anand,2021-01-19 19:51:21,00:00:10,,History of Swear Words: Season 1: F**k (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:11:45,00:11:45,US (United States)
Anand,2021-01-19 19:51:11,00:00:04,Autoplayed: user action: None; ,Luka Chuppi_hook_02_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,US (United States)
Kun,2021-01-18 23:21:24,00:07:33,,Hunter X Hunter (2011): Season 4: Ging's Friends x and x True Friends (Episode 17),,Apple TV 4K,00:18:29,00:18:29,US (United States)
Kun,2021-01-18 23:06:43,00:14:34,,Hunter X Hunter (2011): Season 4: Victor x and x Loser (Episode 16),,Apple TV 4K,00:22:18,00:22:18,US (United States)
